au,af,ti,ab,so,py,vl,is,de,id,nr,tc,z9,u1,u2,pu,pi,pa,sn,ei,bn,j9,ji,pd,di,ga,ut,ty,cy
"Stern, RE","Stern, RE",Unpacking adaptation: The female inheritance movement in Hong Kong,"In 1994, after a year of intense activism by indigenous women and their urban supporters, indigenous women in the New Territories of Hong Kong were legally allowed to inherit land for the first time. In pushing for legislative change, the female inheritance movement adopted key ideas-gender equality, human rights and a critique of patriarchy-from a global vocabulary of feminism and human rights. This article examines this rights frame to understand how, if at all, activists modified international conceptions of discrimination and rights to fit Hong Kong. Overall, the ideology was not fundamentally altered or adapted, but indigenized by local activists through the use of local symbols. More deep-rooted change was not necessary for two reasons: First, in the pre-handover moment, rights arguments derived political currency from their association with an international community. Also, critical movement participants, here termed translators, helped encompass the indigenous women's individual kinship grievances within a broader movement based on rights.",MOBILIZATION,2005,10,,,SOCIAL-MOVEMENTS; RURAL CHINA; DIFFUSION; ACTIVISM; APPEALS; LAW,,13,13,0,2,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,OCT,,991EY,WOS:000233796300007,13,1
"McAdam, D; Sampson, RJ; Weffer, S; MacIndoe, H","McAdam, D; Sampson, RJ; Weffer, S; MacIndoe, H","There will be fighting in the streets"": The distorting lens of social movement theory","We argue that the disproportionate attention accorded the struggles of the sixties has created a stylized image of social movements that threatens to distort our understanding of popular contention, not only in earlier periods and in nondemocratic contexts, but also in the contemporary US. This stylized view tends to equate movements with (a) disruptive protest in public settings, (b) loosely coordinated national struggles over political issues, (c) urban and/or campus based protest activities, and (d) claim making by disadvantaged minorities. Drawing on a larger study of trends and patterns in collective civic engagement in metropolitan Chicago, we employ new data on some 1, 000 protest events between 1970 to 2000 to assess these four stylized views and address a number of related questions. The data do not support the common imagery of social movements-since 1980 there has been a marked transformation of the movement form to the point where public protest is now largely peaceful, routine, suburban, local in nature, and initiated by the advantaged We discuss the implications of these findings for the rise of a ""movement society"" in the U.S. and suggest directions for future research.",MOBILIZATION,2005,10,,,CIVIL-RIGHTS-MOVEMENT; CONFLICT; COVERAGE; PROTEST; WAR; DEMONSTRATIONS; MISSISSIPPI; INSURGENCY; EVENTS; POLICY,,70,70,4,26,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,FEB,,991EW,WOS:000233796100001,13,5.3846154
"della Porta, D","della Porta, D",Making the polis: Social forums and democracy in the global justice movement,"The debate on deliberative democracy could open a fruitful perspective for research on social movement conceptions and practices of democracy. This article reports a pilot study of the values and norms that guide the global justice movement's organizational choices based upon focus groups and in-depth interviews with participants in various Italian social forums. Deliberative democracy, which emphasizes participation and the quality of communication, is particularly relevant for a multifaceted, heterogeneous movement that incorporates many social, generational, and ideological groups as well as movement organizations from different countries. The global justice movement-a ""movement of movements"" according to some activists-comprises a dense network of movement organizations, often the product of previous protest cycles. It builds upon past experiences of organizational institutionalization, but also upon reflexive criticisms of it. These networks of networks provide important resources, but also pose challenges for participation and internal communication. The activists in our study addressed these challenges by building an organizational culture that stressed diversity rather than homogeneity; subjectivity, rather than obedience to organizational demands; transparency, even at the cost of effectiveness; open confrontations oriented to consensus building over efficient decision making; and ""ideological contamination"" rather than dogmatism. Traditional participatory models of democracy are bridged with concerns for good communication and deliberation.",MOBILIZATION,2005,10,,,,,53,55,1,16,"SAN DIEGO STATE UNIV, DEPT SOCIOLOGY",SAN DIEGO,"5500 CAMPANILE DR, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,FEB,,991EW,WOS:000233796100005,13,4.2307692
"Smith, J","Smith, J",Building bridges or building walls? Explaining regionalization among transnational social movement organizations,"Before the mid-1980s, most transnational social movement organizations (TSMOs) organized across the North-South divide. However, since the mid-1980s data show that more TSMOs are organized exclusively within either the global North or South. To explain this pattern, I analyze ties between regionally organized TSMOs and other nongovernmental organizations. Groups in the global South were more likely than their Northern counterparts to maintain cross-regional ties. At the same time, Northern groups were significantly more likely to report only regional ties. Environmental and women's organizations were the most likely to maintain only regional ties while economic justice and human rights organizations were the most likely to report cross-regional ties. These findings suggest that the regionalization of TSMOs is best explained as a response to the institutional environment rather than a consequence of intra-movement conflict and polarization.",MOBILIZATION,2005,10,,,CIVIL-SOCIETY; NATION-STATE; HUMAN-RIGHTS; 20TH-CENTURY; ENVIRONMENT; NETWORKS; FEMINISM; NGOS; UN,,24,24,0,11,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,JUN,,991EX,WOS:000233796200004,13,1.8461539
"Rucht, D","Rucht, D","Appeal, threat, and press resonance: Comparing mayday protests in London and Berlin","Since its beginnings in 1890, the First of May (hereafter Mayday) was meant to symbolize the presence and power of the workers' movement. Throughout its history, this day served two purposes for the movement. On the one hand, the workers took to the streets to let their voices be heard in marches, rallies, and various other public gatherings. Thus, Mayday was proclaimed as a ""day of struggle"", a recurrent opportunity for the movement to symbolically flex its muscles and make claims to further the workers' cause. On the other hand, Mayday also helped strengthen internal bonds and maintain the collective identity. For this purpose, the workers came together-usually after the public performances in the morning or early afternoon to sing and drink as though they were family. This two-fold character of a ""day of struggle"" and a ""day of festivities"" still can be found in many Mayday events.",MOBILIZATION,2005,10,,,,,7,7,0,2,"SAN DIEGO STATE UNIV, DEPT SOCIOLOGY",SAN DIEGO,"5500 CAMPANILE DR, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,FEB,,991EW,WOS:000233796100010,13,.53846157
"Giugni, M; Koopmans, R; Passy, F; Statham, P","Giugni, M; Koopmans, R; Passy, F; Statham, P",Institutional and discursive opportunities for extreme-right mobilization in five countries,"Inspired by spatial theories of political behavior and by work on the impact of immigration on national identity, in this article we propose an explanation of the extreme right's claim making based on the interplay of three factors: national models of citizenship, the dynamics of political alignments and party competition, and the strategic/organizational repertoires of the extreme right, in particular the electoral strength of extreme-right parties. Confronting a number of hypotheses derived from this theoretical framework with original data on the extreme right's claim making in five European countries (the Netherlands, Britain, France, Germany, and Switzerland), we show how political-institutional and cultural-discursive opportunities account for differences in the extent, forms, and content of xenophobic and extreme-right claim making. Our study shows that national configurations of citizenship affect in significant ways the mobilization of the extreme right, both directly and indirectly. More precisely, our two-country comparison confirms the hypothesis that the claim making of the extreme right depends on a specific political opportunity structure formed by the combination of discursive opportunities deriving from the prevailing model of citizenship and by the political space made available by mainstream parties for far-right mobilization.",MOBILIZATION,2005,10,,,ETHNIC-MINORITIES; WESTERN-EUROPE; NEWSPAPER DATA; GERMANY; MOVEMENTS; VALIDITY; PARTIES; PROTEST,,25,25,1,23,"SAN DIEGO STATE UNIV, DEPT SOCIOLOGY",SAN DIEGO,"5500 CAMPANILE DR, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,FEB,,991EW,WOS:000233796100009,13,1.9230769
"Murphy, G","Murphy, G",Coalitions and the development of the global environmental movement: A double-edged sword,"Censuses reveal an increasing prominence of coalition organizations within transnational social movements. However, the causes and implications of this change are unclear. Using original data on a population of transnational environmental social movement organizations, this research shows that coalition presence is a double-edged sword. While greater numbers of coalitions suggest movement expansion, empirical evidence suggests that this rise makes foundings of new organizations less likely.",MOBILIZATION,2005,10,,,PRO-CHOICE MOVEMENT; SOCIAL-MOVEMENTS; ORGANIZATIONAL MORTALITY; DYNAMICS; TRANSFORMATION; WORK,,24,24,0,6,"SAN DIEGO STATE UNIV, DEPT SOCIOLOGY",SAN DIEGO,"5500 CAMPANILE DR, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,JUN,,991EX,WOS:000233796200003,13,1.8461539
"Polletta, F","Polletta, F",How participatory democracy became white: Culture and organizational choice,"Why do activists choose the organizational forms they do? Social movement scholars have tended to focus on activists' instrumental assessments of organizational forms' costs and benefits or on activists' efforts to balance instrumental calculations with a commitment to ideological consistency. Neither explanation is adequate. Organizational forms, like strategies, tactics, and targets, are often appealing for their symbolic associations, and especially, their association with particular social groups. The article fleshes out this dynamic through a case study of the rise and fall of participatory democracy in the Student Nonviolent Coordinating Committee (SNCC). Contrary to standard explanations for SNCC activists' repudiation of consensus-based and nonhierarchical decision making in the mid-1960s, I show that participatory democracy was abandoned when it came to be seen as ideological, oriented to personal self transformation, and-no coincidence-as white. That was not the case earlier on, when participatory democracy was seen as practical, political, and black and I account for that shift. Once established, however, participatory democracy's social associations shaped subsequent activist generations' view of the form's strengths and liabilities.",MOBILIZATION,2005,10,,,MOVEMENTS; WOMENS; INNOVATION; IDENTITY,,29,29,1,9,"SAN DIEGO STATE UNIV, DEPT SOCIOLOGY",SAN DIEGO,"5500 CAMPANILE DR, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,JUN,,991EX,WOS:000233796200005,13,2.2307692
"Uba, K","Uba, K","Political protest and policy change: The direct impacts of Indian anti-privatization mobilizations, 1990-2003","This study explores the mechanisms of how social movements' activities influence public policy by focusing on the role of protest characteristics. By applying an event history analysis to the data on India's anti-privatization movement activity between 1990-2003, 1 demonstrate that favorable policy outcomes are more likely in cases where the movement uses large or economically disruptive protests. Although privatization policy is primarily dependent on the financial situation of the enterprise, protests against privatization had significant direct impact on policy. The results of this study allow for the argument that threatening rather than persuasive tactics offer an explanation of the direct impact of social movement actions.",MOBILIZATION,2005,10,,,SOCIAL-MOVEMENTS; PUBLIC-POLICY; ORGANIZATIONS; MEDIATION; OUTCOMES; WAR,,11,11,1,7,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,OCT,,991EY,WOS:000233796300005,13,.84615386
"Meyer, DS; Corrigall-Brown, C","Meyer, DS; Corrigall-Brown, C",Coalitions and political context: US movements against wars in Iraq,"Although social movements in the United States are staged by coalitions, the politics of movement coalitions and the internal and external factors that affect their formation, maintenance, and dissolution are understudied. Here, we use the 2002-2003 movement against the impending war in Iraq to refocus analytical attention and sharpen theory on social movement coalitions. We contend that external circumstances, or political opportunities, are critically important factors that affect the propensity of social movement organizations to cooperate in common cause. Further, we contend that cooperation among groups can best be seen as variable, rather than dichotomous, and argue that political context affects the extent of cooperation among cooperating groups. We examine the importance of political context through a comparison of the first and second Gulf Wars. The decision of social movement organizations to join a coalition is akin to the process whereby individuals join social movements, involving an assessment of costs, benefits, and identity. As the political context changes, the costs and benefits are assessed differently and, for this reason, actively engaged coalitions are difficult to sustain over a long period as circumstances change. By looking at the antiwar movement generally, and the Win Without War coalition in particular, we show that cooperation was born in the second Gulf War out of the political opportunities presented by the George W. Bush's administration. We conclude with a call for more research on social movements as coalitions.",MOBILIZATION,2005,10,,,UNITED-STATES; COLLECTIVE ACTION; GULF-WAR; ORGANIZATIONS; OPPORTUNITY; PROTEST; POLICY; MEDIA,,58,58,0,22,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,OCT,,991EY,WOS:000233796300002,13,4.4615383
"Caniglia, BS; Carmin, JA","Caniglia, BS; Carmin, JA",Scholarship on social movement organziations: Classic views and emerging trends,"This essay examines research on social movement organizations (SMOs) within each of the three major schools of social movement theory: resource mobilization, political process, and cultural-cognitive approaches. We map the general terrain of these perspectives and demonstrate how they have established enduring and emerging trends in SMO scholarship. By briefly revisiting some of the central findings and theoretical arguments of SMO research, we provide a background for future research in social movement organizational processes and a foundation for the articles contained in this special issue.",MOBILIZATION,2005,10,,,RESOURCE MOBILIZATION; LABOR-MOVEMENT; NEW-YORK; ORGANIZATIONS; IDENTITY; TRANSFORMATION; INSURGENCY; WOMENS; END,,22,22,1,11,"SAN DIEGO STATE UNIV, DEPT SOCIOLOGY",SAN DIEGO,"5500 CAMPANILE DR, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,JUN,,991EX,WOS:000233796200001,13,1.6923077
"Minkoff, DC; McCarthy, JD","Minkoff, DC; McCarthy, JD",Reinvigorating the study of organizational processes in social movements,"We draw upon diverse theoretical perspectives in organizational analysis to identify four areas where a more serious interface between this ""cognate"" field and social movement research promises to deepen our understanding of social movement organizations (SMOs). These areas include conceptualizing social movements as organizational fields, thinking of activists as part of a labor market situated in the social movement sector, analyzing SMOs in terms of entrepreneurship and organizational change, and finally, looking more closely at processes of organizational decision making. We discuss studies by social movement scholars that implicitly or explicitly engage the cognate scholarship with an eye to identifying those areas where systematic research is lacking. We close by sketching some methodological approaches for addressing each of the lacunae we identify.",MOBILIZATION,2005,10,,,RESOURCE MOBILIZATION; PARTICIPATION; SOCIOLOGY; DYNAMICS; DECISION; OVERLAP; WOMENS; TIES,,34,35,0,12,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,JUN,,991EX,WOS:000233796200006,13,2.6923077
"Koopmans, R","Koopmans, R",The missing link between structure and agency: Outline of an evolutionary approach to social movements,"Theories of political opportunity structure (POS) have received ambiguous empirical support. Quite a few studies make a convincing case for POS, some find it to have no measurable effect, others show that it can have different effects in different contexts. The lack of a theory of the mechanisms that link POS to movement action is identified as the fundamental problem behind these divergent results. I suggest a dynamic and relational solution to the structure agency problem that employs an evolutionary mode of causal explanation. I show how such an approach helps us to understand why in spite of limited information and frequent errors of judgment, actors' choices may ultimately reflect structural opportunities. I also discuss how an evolutionary approach can help explain deviations from the predictions of POS theory, e.g., why adaptation to changes in POS is slow, why opportunities are sometimes missed and why those that are perceived cannot always be seized I conclude with a discussion of some methodological implications.",MOBILIZATION,2005,10,,,OPPORTUNITIES,,21,21,1,13,"SAN DIEGO STATE UNIV, DEPT SOCIOLOGY",SAN DIEGO,"5500 CAMPANILE DR, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,FEB,,991EW,WOS:000233796100002,13,1.6153846
"Ortiz, DG; Myers, DJ; Walls, NE; Diaz, MED","Ortiz, DG; Myers, DJ; Walls, NE; Diaz, MED",Where do we stand with newspaper data?,"We review the literature that identifies selection bias in media-based data and propose a theoretical model of the sources of these biases. Given the implications for validity and reliability, we conclude that newspaper data often do not reach acceptable standards for event analysis and that using them can distort findings and misguide theorizing. Furthermore, media selection biases are resistant to correction procedures largely because they are unstable across media sources, time, and location. We end with a plea for more circumspect approaches to media data that fully and openly consider the implications of their inherent limitations.",MOBILIZATION,2005,10,,,PROTEST EVENTS; POLITICAL-CONFLICT; COLLECTIVE ACTION; SELECTION BIAS; MEDIA COVERAGE; MASS-MEDIA; AGENDA; MOVEMENTS; IMAGES; OPPORTUNITIES,,79,80,2,30,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,OCT,,991EY,WOS:000233796300006,13,6.1538463
"Ryan, C; Anastario, M; Jeffreys, K","Ryan, C; Anastario, M; Jeffreys, K","Start small, build big: Negotiating opportunities in media markets","We track the strategic choices of Rhode Island Coalition against Domestic Violence (RICADV), a statewide collective actor working in one media market to expand opportunities to promote its mission. We reconstruct an organizational life history describing how RICADV built its communications capacity and deepened internal and external relations, thereby increasing media standing with Rhode Island journalists. To measure growth in media standing quantitatively, we analyze print coverage of three comparable clusters of domestic violence murders occurring in Rhode Island between 1996 and 2002. Over this interval, RICADV rose from invisibility to become Rhode Island reporters' foremost source for background information on domestic-violence murders. Also, the use of language identifying these murders as domestic violence increased sixteen-fold. Stressing dialogic and relational approaches, we conclude that despite restricted access to corporatized media markets, intentional collective actors can negotiate and expand media opportunities by strategically selecting mission-relevant media projects that match their existing resources and networks.",MOBILIZATION,2005,10,,,MOVEMENT,,20,20,0,5,SAN DIEGO STATE UNIV,SAN DIEGO,"DEPT SOCIOLOGY, SAN DIEGO, CA 92182 USA",1086-671X,,,MOBILIZATION,Mobilization,FEB,,991EW,WOS:000233796100007,13,1.5384616
